road_spectrum_ratio,cavity_ratio,edge_density,non_road_ratio,average_brightness,defect_type,location_type
71.39,0.73,3.35,2.11,126.49,None,Road
71.49,4.93,12.37,4.71,86.5,Damage,Road
1.18,8.21,14.69,71.32,177.7,Damage,Non-Road
60.32,22.91,14.2,12.97,159.95,Pothole,Road
3.68,20.92,9.6,66.8,128.62,Pothole,Non-Road
9.65,4.37,13.24,38.41,123.05,Damage,Non-Road
0.93,0.88,1.9,63.37,129.24,None,Non-Road
74.08,4.39,6.44,9.91,103.62,Damage,Road
52.07,2.64,30.23,0.0,170.52,Crack,Road
68.26,0.9,1.18,3.92,70.02,None,Road
77.23,23.11,10.98,4.46,98.99,Pothole,Road
72.46,1.56,30.62,6.89,23.53,Crack,Road
16.72,0.82,1.73,54.44,56.34,None,Non-Road
79.63,9.37,10.29,13.27,118.49,Damage,Road
10.52,2.11,30.38,76.12,129.4,Crack,Non-Road
78.67,0.76,2.75,5.92,129.77,None,Road
63.4,17.85,14.72,8.75,143.11,Pothole,Road
98.82,2.74,38.94,7.3,104.12,Crack,Road
6.14,0.26,2.73,99.39,128.43,None,Non-Road
27.09,0.19,1.25,68.84,87.85,None,Non-Road
8.4,1.38,28.11,58.24,103.29,Crack,Non-Road
56.36,12.63,14.74,12.21,136.6,Pothole,Road
67.25,3.13,16.79,11.17,146.84,Damage,Road
6.67,1.81,28.76,79.44,183.66,Crack,Non-Road
71.29,0.76,1.37,11.6,144.44,None,Road
78.02,0.91,1.3,0.57,115.75,None,Road
15.13,9.83,12.92,59.64,124.43,Damage,Non-Road
53.79,7.78,11.94,6.22,60.71,Damage,Road
20.76,20.66,16.53,59.9,122.24,Pothole,Non-Road
75.13,2.95,34.85,14.83,118.08,Crack,Road
6.61,0.36,3.36,61.5,151.81,None,Non-Road
10.09,1.33,28.67,63.2,111.17,Crack,Non-Road
68.82,20.74,15.0,7.2,126.79,Pothole,Road
75.16,0.46,4.65,10.63,71.37,None,Road
64.41,7.76,9.09,7.59,118.99,Damage,Road
69.61,2.71,25.69,13.68,105.99,Crack,Road
75.04,12.63,17.39,7.77,27.26,Pothole,Road
50.64,20.92,10.83,5.93,139.82,Pothole,Road
18.18,2.54,37.1,49.94,71.77,Crack,Non-Road
7.15,2.25,22.78,85.24,177.61,Crack,Non-Road
15.88,1.93,39.45,74.17,114.95,Crack,Non-Road
67.46,2.13,31.96,13.59,87.66,Crack,Road
2.31,9.72,14.74,56.33,65.15,Damage,Non-Road
11.83,24.3,14.51,63.55,108.05,Pothole,Non-Road
7.91,3.39,27.97,72.43,104.75,Crack,Non-Road
7.83,7.06,11.34,69.81,133.38,Damage,Non-Road
50.0,0.84,1.09,14.26,47.08,None,Road
60.57,22.44,9.33,7.12,116.03,Pothole,Road
69.35,20.74,15.9,6.53,82.87,Pothole,Road
20.92,1.01,29.91,59.1,77.11,Crack,Non-Road
77.45,18.76,14.99,4.64,139.27,Pothole,Road
14.35,8.13,10.72,53.32,158.74,Damage,Non-Road
19.5,1.86,0.8,67.64,110.3,None,Non-Road
24.11,1.74,2.18,32.83,114.09,None,Non-Road
68.76,7.24,6.64,5.5,106.55,Damage,Road
10.41,12.79,9.28,70.27,118.64,Damage,Non-Road
9.39,7.77,15.68,52.5,89.04,Damage,Non-Road
60.37,1.99,30.33,7.41,62.65,Crack,Road
59.2,1.26,3.74,2.91,88.31,None,Road
71.66,1.43,28.87,5.2,113.45,Crack,Road
10.99,12.52,11.81,73.25,147.51,Damage,Non-Road
64.26,0.35,34.53,10.06,179.59,Crack,Road
21.25,6.97,14.2,70.22,131.69,Damage,Non-Road
75.12,2.26,36.92,10.21,87.72,Crack,Road
6.55,0.95,2.54,65.52,91.44,None,Non-Road
79.82,21.75,9.89,3.16,141.96,Pothole,Road
2.55,0.94,0.54,49.96,82.13,None,Non-Road
80.51,1.03,29.56,15.08,79.07,Crack,Road
8.99,20.16,9.92,65.72,122.22,Pothole,Non-Road
10.51,18.37,15.52,76.22,101.97,Pothole,Non-Road
12.48,0.77,34.47,45.22,50.07,Crack,Non-Road
13.03,7.74,9.49,68.85,141.21,Damage,Non-Road
69.97,8.97,10.78,8.48,64.8,Damage,Road
75.67,23.81,14.86,8.93,91.63,Pothole,Road
68.8,1.18,1.02,9.87,98.37,None,Road
7.33,0.19,0.0,59.76,129.74,None,Non-Road
58.68,2.25,30.41,12.22,90.69,Crack,Road
62.56,1.77,1.68,7.58,53.62,None,Road
24.95,16.12,12.15,75.29,95.02,Pothole,Non-Road
10.54,26.41,15.21,72.11,127.97,Pothole,Non-Road
13.14,0.92,21.12,68.97,142.2,Crack,Non-Road
65.56,1.67,36.42,1.88,166.35,Crack,Road
54.52,0.73,0.0,3.94,78.03,None,Road
78.51,2.52,11.5,6.21,152.42,Damage,Road
7.45,21.05,13.64,65.79,83.62,Pothole,Non-Road
76.29,0.62,3.17,15.86,112.1,None,Road
12.59,3.95,37.34,68.92,132.84,Crack,Non-Road
4.9,1.65,35.54,85.63,94.03,Crack,Non-Road
64.13,0.86,1.05,4.99,116.15,None,Road
13.84,0.28,31.25,72.94,60.12,Crack,Non-Road
75.05,1.31,2.53,12.71,112.92,None,Road
11.32,20.61,12.76,78.65,185.52,Pothole,Non-Road
17.72,2.0,4.06,50.54,144.28,None,Non-Road
64.16,6.75,10.16,4.12,92.65,Damage,Road
66.02,1.41,2.79,10.51,134.37,None,Road
23.57,8.68,13.49,78.62,87.74,Damage,Non-Road
12.35,6.69,8.94,81.09,120.41,Damage,Non-Road
6.08,19.88,14.89,51.81,78.07,Pothole,Non-Road
18.55,10.34,12.17,69.21,93.4,Pothole,Non-Road
70.44,9.44,11.6,9.57,78.93,Damage,Road
13.43,5.55,13.68,63.93,89.25,Damage,Non-Road
67.78,0.36,4.34,5.92,65.56,None,Road
80.31,1.17,4.24,13.56,135.74,None,Road
9.76,0.68,2.79,79.39,109.87,None,Non-Road
13.09,1.54,0.0,52.65,149.45,None,Non-Road
8.42,22.72,15.68,64.6,78.36,Pothole,Non-Road
81.92,6.65,8.55,11.61,90.34,Damage,Road
17.14,6.06,7.0,53.17,76.04,Damage,Non-Road
59.44,0.87,2.47,1.63,86.28,None,Road
13.45,31.79,13.4,53.05,36.45,Pothole,Non-Road
12.22,2.61,25.26,67.64,117.11,Crack,Non-Road
19.33,4.3,14.81,66.97,87.86,Damage,Non-Road
15.22,2.34,29.91,64.77,164.73,Crack,Non-Road
11.78,2.1,42.22,75.5,105.53,Crack,Non-Road
17.59,1.0,4.22,51.57,139.83,None,Non-Road
71.4,1.77,31.11,9.66,127.32,Crack,Road
6.54,9.9,19.58,48.87,99.43,Damage,Non-Road
10.41,7.43,10.1,64.05,54.57,Damage,Non-Road
69.15,6.78,13.03,16.05,100.91,Damage,Road
12.33,3.57,30.0,81.93,155.35,Crack,Non-Road
8.98,23.24,17.31,73.19,116.42,Pothole,Non-Road
25.85,1.37,27.79,65.47,111.0,Crack,Non-Road
6.48,0.47,0.0,77.8,63.51,None,Non-Road
6.42,1.26,3.01,71.21,143.71,None,Non-Road
61.55,2.74,36.92,11.06,135.14,Crack,Road
14.28,1.55,3.78,41.32,105.53,None,Non-Road
6.78,1.54,3.18,58.74,99.21,None,Non-Road
65.3,1.82,35.41,8.93,120.72,Crack,Road
66.77,20.71,13.16,11.13,52.22,Pothole,Road
86.25,2.17,35.69,14.16,76.83,Crack,Road
55.32,0.26,33.76,7.74,88.09,Crack,Road
65.9,8.38,6.22,2.77,121.43,Damage,Road
68.93,17.01,9.48,5.91,139.76,Pothole,Road
57.07,1.79,24.97,12.54,101.99,Crack,Road
88.61,6.06,10.75,9.61,64.71,Damage,Road
84.3,7.32,9.57,7.09,75.95,Damage,Road
9.86,27.49,16.46,56.25,138.89,Pothole,Non-Road
8.87,17.1,15.07,71.38,148.88,Pothole,Non-Road
12.45,0.29,1.12,56.66,108.41,None,Non-Road
13.46,1.74,36.87,69.52,122.86,Crack,Non-Road
20.2,2.13,1.4,66.1,74.62,None,Non-Road
64.68,2.73,45.16,4.74,126.21,Crack,Road
67.21,22.97,17.74,15.76,92.47,Pothole,Road
64.67,8.02,9.49,8.6,128.63,Damage,Road
10.05,0.38,2.98,55.81,105.67,None,Non-Road
64.58,7.99,7.01,8.93,105.26,Damage,Road
5.58,2.12,33.34,71.8,106.19,Crack,Non-Road
75.24,0.65,29.36,2.55,110.1,Crack,Road
67.65,6.86,19.05,5.36,133.24,Damage,Road
13.58,2.03,37.56,36.19,61.73,Crack,Non-Road
7.92,0.0,3.69,74.8,149.47,None,Non-Road
65.73,3.16,24.58,14.17,107.46,Crack,Road
19.28,7.98,10.52,41.88,61.41,Damage,Non-Road
70.02,14.98,13.87,7.14,31.2,Pothole,Road
11.26,0.9,34.08,39.56,109.39,Crack,Non-Road
8.99,1.1,1.83,55.71,80.5,None,Non-Road
10.2,1.4,36.82,50.02,97.77,Crack,Non-Road
19.49,17.55,10.44,62.2,153.93,Pothole,Non-Road
70.98,1.19,1.45,12.54,99.88,None,Road
13.33,10.86,5.75,57.35,108.77,Damage,Non-Road
12.76,1.1,30.58,48.91,162.56,Crack,Non-Road
74.23,1.23,30.73,7.55,124.18,Crack,Road
9.8,1.39,25.32,55.68,139.09,Crack,Non-Road
66.02,1.29,1.91,7.06,131.04,None,Road
6.09,1.88,2.77,53.36,117.24,None,Non-Road
66.52,7.92,7.85,3.06,111.86,Damage,Road
20.1,22.7,8.94,76.39,100.29,Pothole,Non-Road
63.41,1.52,0.94,10.75,49.58,None,Road
62.21,7.01,11.05,2.82,19.86,Damage,Road
65.82,1.46,4.27,14.78,164.02,None,Road
8.51,9.68,9.78,60.83,90.84,Damage,Non-Road
11.84,21.43,15.61,66.04,118.2,Pothole,Non-Road
16.1,1.23,20.35,66.6,91.54,Crack,Non-Road
7.7,10.12,19.0,71.19,89.4,Damage,Non-Road
63.49,20.91,17.89,8.72,147.88,Pothole,Road
11.99,18.04,17.35,56.59,109.99,Pothole,Non-Road
10.41,1.09,2.21,61.59,103.61,None,Non-Road
91.73,2.71,28.86,9.01,147.94,Crack,Road
11.36,1.22,2.08,70.31,137.82,None,Non-Road
14.67,1.88,1.56,52.37,86.85,None,Non-Road
70.26,9.77,9.73,8.79,109.62,Damage,Road
74.09,7.68,14.44,6.25,142.32,Damage,Road
68.22,8.45,10.12,4.56,143.19,Damage,Road
7.04,26.16,12.45,66.73,132.6,Pothole,Non-Road
10.64,0.72,1.65,62.83,69.36,None,Non-Road
3.19,1.15,1.1,78.27,140.51,None,Non-Road
16.56,13.58,9.69,92.52,104.83,Damage,Non-Road
12.72,22.21,14.92,83.59,103.9,Pothole,Non-Road
60.25,25.07,15.49,0.0,120.88,Pothole,Road
70.03,1.12,2.11,4.98,44.18,None,Road
6.68,1.24,2.24,58.1,98.6,None,Non-Road
83.24,5.46,12.25,0.69,123.56,Damage,Road
4.57,2.12,32.24,71.23,96.52,Crack,Non-Road
17.21,7.38,16.83,68.89,113.96,Damage,Non-Road
25.32,2.61,32.57,58.39,99.85,Crack,Non-Road
7.97,19.94,13.66,54.61,106.58,Pothole,Non-Road
11.88,6.51,14.49,62.02,135.51,Damage,Non-Road
72.29,8.38,11.87,9.67,92.66,Damage,Road
71.42,24.71,15.46,7.31,87.93,Pothole,Road
3.7,17.86,14.36,61.43,93.24,Pothole,Non-Road
73.81,1.19,4.43,13.38,118.25,None,Road
8.91,0.75,4.35,27.2,143.19,None,Non-Road
75.89,9.73,9.2,5.42,59.98,Damage,Road
8.58,1.76,0.22,58.68,96.77,None,Non-Road
55.38,8.23,12.61,3.36,122.29,Damage,Road
15.05,20.54,14.61,65.88,114.0,Pothole,Non-Road
5.81,19.37,12.13,74.42,90.57,Pothole,Non-Road
10.94,6.97,16.38,72.7,96.12,Pothole,Non-Road
77.22,8.57,13.09,9.47,79.89,Damage,Road
91.51,1.04,3.64,8.23,92.85,None,Road
6.16,24.43,17.07,64.66,79.3,Pothole,Non-Road
56.98,1.75,2.96,10.05,94.31,None,Road
18.06,13.38,17.22,73.43,67.71,Pothole,Non-Road
15.49,0.99,27.28,68.31,76.73,Crack,Non-Road
8.32,7.7,19.16,54.79,96.96,Damage,Non-Road
65.75,1.49,1.76,5.34,114.09,None,Road
79.01,1.67,2.19,0.12,74.22,None,Road
66.65,1.1,1.94,0.79,95.65,None,Road
19.19,20.76,15.89,71.38,84.25,Pothole,Non-Road
70.33,3.79,32.8,2.61,103.97,Crack,Road
17.88,11.82,14.27,79.85,170.56,Damage,Non-Road
68.56,3.15,34.41,5.99,95.6,Crack,Road
67.8,1.16,2.06,7.11,85.61,None,Road
64.18,0.31,2.97,6.23,73.64,None,Road
71.84,0.85,1.05,1.86,95.66,None,Road
82.19,6.72,20.12,14.51,145.5,Damage,Road
58.15,0.95,1.29,7.46,183.25,None,Road
59.8,1.25,0.82,10.82,100.54,None,Road
12.58,1.04,2.15,47.94,113.99,None,Non-Road
11.23,1.78,27.95,70.95,112.85,Crack,Non-Road
68.6,7.11,13.59,7.51,117.71,Damage,Road
58.78,1.17,3.91,11.87,110.98,None,Road
22.95,1.92,26.34,75.61,124.43,Crack,Non-Road
17.95,7.63,14.83,45.24,199.91,Damage,Non-Road
14.69,7.68,14.83,73.37,160.67,Damage,Non-Road
81.01,10.47,12.31,3.97,94.54,Damage,Road
14.03,24.71,17.28,85.72,110.79,Pothole,Non-Road
66.38,1.46,38.51,12.05,81.55,Crack,Road
73.77,2.63,35.99,7.68,129.26,Crack,Road
17.16,9.21,9.55,56.08,132.4,Damage,Non-Road
54.14,2.06,32.76,5.13,171.35,Crack,Road
0.0,9.24,13.16,41.72,112.25,Pothole,Non-Road
20.44,19.22,14.12,54.02,131.01,Pothole,Non-Road
16.0,9.16,7.68,64.38,145.67,Damage,Non-Road
9.26,6.29,13.99,100.0,131.17,Damage,Non-Road
6.85,1.44,1.64,42.02,82.54,None,Non-Road
6.49,1.16,2.42,82.71,100.51,None,Non-Road
20.99,24.86,17.59,48.87,115.16,Pothole,Non-Road
80.49,9.13,13.51,7.74,104.7,Damage,Road
73.1,21.51,19.14,13.51,61.4,Pothole,Road
16.37,7.6,13.03,74.28,102.51,Damage,Non-Road
14.56,22.01,9.25,62.24,136.14,Pothole,Non-Road
65.48,0.59,2.01,9.94,98.28,None,Road
8.48,7.62,12.49,80.47,60.85,Damage,Non-Road
60.07,7.73,12.58,12.49,64.45,Damage,Road
14.7,7.6,14.49,78.36,137.78,Damage,Non-Road
7.75,1.49,33.42,69.34,155.69,Crack,Non-Road
12.45,1.7,26.66,54.38,104.62,Crack,Non-Road
6.46,3.72,38.8,56.77,141.22,Crack,Non-Road
8.88,13.24,14.9,68.83,98.92,Pothole,Non-Road
65.86,2.08,32.64,9.55,144.01,Crack,Road
83.89,7.4,10.05,6.8,130.45,Damage,Road
78.91,6.63,12.99,11.82,117.67,Damage,Road
12.89,6.85,16.04,49.09,143.38,Damage,Non-Road
20.27,13.41,12.35,60.48,117.44,Damage,Non-Road
16.19,21.31,10.91,53.42,101.09,Pothole,Non-Road
19.39,0.85,0.76,66.12,103.06,None,Non-Road
20.83,2.02,29.0,79.23,106.4,Crack,Non-Road
15.92,24.78,7.72,97.76,71.55,Pothole,Non-Road
73.8,1.4,1.59,11.83,146.78,None,Road
2.03,34.48,7.62,44.1,56.66,Pothole,Non-Road
65.74,2.26,25.8,8.39,114.38,Crack,Road
0.18,0.47,27.8,56.2,137.37,Crack,Non-Road
4.73,15.57,13.83,50.92,129.26,Pothole,Non-Road
14.07,21.05,10.89,66.45,120.28,Pothole,Non-Road
52.78,0.28,1.62,2.15,99.01,None,Road
12.68,0.9,0.14,89.15,118.73,None,Non-Road
26.2,1.46,1.26,75.01,141.46,None,Non-Road
73.11,8.75,15.45,2.57,70.58,Damage,Road
11.3,2.51,34.98,63.44,180.78,Crack,Non-Road
68.73,1.0,2.59,7.86,77.07,None,Road
78.25,7.86,10.47,11.24,105.42,Damage,Road
79.31,6.6,15.91,16.24,71.92,Damage,Road
85.85,1.01,4.06,11.86,77.03,None,Road
3.18,20.91,9.5,49.4,71.82,Pothole,Non-Road
17.03,6.32,12.79,84.65,132.82,Damage,Non-Road
65.91,26.77,13.57,10.31,99.82,Pothole,Road
11.99,0.38,28.58,83.18,118.54,Crack,Non-Road
8.89,7.33,13.03,59.11,159.47,Damage,Non-Road
82.39,24.89,14.4,9.28,107.15,Pothole,Road
74.99,21.32,13.63,14.33,85.44,Pothole,Road
87.8,0.02,22.39,12.93,85.82,Crack,Road
69.07,3.33,31.09,14.08,98.97,Crack,Road
80.77,5.09,12.83,9.46,52.06,Damage,Road
62.94,1.73,36.42,7.35,53.96,Crack,Road
19.12,1.43,1.79,79.9,71.2,None,Non-Road
82.82,9.76,11.93,15.85,103.83,Damage,Road
60.67,1.8,37.11,4.63,122.31,Crack,Road
0.0,3.79,36.23,64.77,59.49,Crack,Non-Road
64.31,0.33,0.0,5.2,81.18,None,Road
73.29,8.24,15.33,12.86,117.92,Damage,Road
12.93,1.5,41.73,60.44,90.13,Crack,Non-Road
13.77,0.99,1.3,63.04,132.74,None,Non-Road
71.28,1.26,0.74,4.59,93.89,None,Road
19.65,0.49,3.23,53.5,57.06,None,Non-Road
84.38,0.6,1.68,11.12,159.55,None,Road
13.51,8.02,11.3,59.59,106.16,Damage,Non-Road
67.17,22.32,16.79,3.07,96.86,Pothole,Road
11.95,7.8,12.61,77.21,129.78,Damage,Non-Road
69.73,0.55,1.44,7.16,102.84,None,Road
12.16,0.57,26.77,68.92,105.4,Crack,Non-Road
75.08,9.89,12.72,10.06,98.04,Damage,Road
70.68,1.61,3.44,11.51,113.84,None,Road
3.82,26.97,16.36,70.85,111.7,Pothole,Non-Road
9.92,0.81,1.06,55.85,113.67,None,Non-Road
14.96,19.36,12.92,56.49,94.82,Pothole,Non-Road
14.4,5.0,7.48,68.72,141.09,Damage,Non-Road
10.53,22.09,17.43,81.84,114.49,Pothole,Non-Road
17.91,0.44,1.54,63.5,99.19,None,Non-Road
4.21,1.19,36.02,61.25,153.26,Crack,Non-Road
82.77,11.0,12.67,7.13,97.7,Damage,Road
16.41,0.46,2.09,45.92,103.33,None,Non-Road
68.16,23.19,15.64,14.9,104.68,Pothole,Road
8.06,5.15,11.85,58.18,143.17,Damage,Non-Road
8.7,1.51,0.58,71.47,75.41,None,Non-Road
25.72,18.46,12.82,54.46,154.01,Pothole,Non-Road
71.56,17.36,15.36,4.56,138.0,Pothole,Road
69.12,1.92,32.85,4.42,54.25,Crack,Road
73.7,0.39,0.93,8.61,146.73,None,Road
79.28,2.66,28.48,8.18,118.77,Crack,Road
68.82,1.27,2.17,7.27,94.02,None,Road
85.67,0.97,0.68,8.78,126.88,None,Road
83.88,2.53,37.73,3.19,142.15,Crack,Road
68.2,1.06,2.28,4.41,147.02,None,Road
22.5,10.83,16.25,70.05,61.29,Damage,Non-Road
24.03,0.98,1.91,65.48,118.01,None,Non-Road
61.19,7.42,8.98,10.03,86.09,Damage,Road
50.8,16.13,14.53,16.2,105.23,Pothole,Road
60.48,0.6,2.88,9.02,106.87,None,Road
78.41,1.61,0.97,8.59,141.29,None,Road
70.52,3.06,29.36,5.6,147.64,Crack,Road
63.25,1.61,28.92,6.14,111.43,Crack,Road
94.88,19.27,15.6,10.43,136.63,Pothole,Road
61.66,8.16,11.84,4.09,102.3,Damage,Road
77.39,0.91,25.93,1.08,137.54,Crack,Road
12.99,9.42,12.69,64.7,111.06,Damage,Non-Road
68.73,1.74,37.23,6.16,125.72,Crack,Road
65.07,2.81,36.66,3.78,110.9,Crack,Road
16.13,1.32,1.76,75.83,90.18,None,Non-Road
62.98,19.24,15.52,8.68,84.32,Pothole,Road
74.28,6.45,13.19,4.42,121.98,Damage,Road
67.65,9.79,10.83,4.01,88.21,Damage,Road
8.15,7.18,10.49,63.18,116.62,Damage,Non-Road
76.52,0.73,0.81,4.53,117.55,None,Road
12.69,9.58,14.11,77.95,128.1,Damage,Non-Road
59.21,20.68,14.4,14.19,59.11,Pothole,Road
11.86,0.96,0.82,58.97,109.11,None,Non-Road
72.64,1.3,38.58,10.63,149.07,Crack,Road
75.96,16.19,9.27,10.62,113.8,Pothole,Road
14.03,1.35,1.37,74.45,96.94,None,Non-Road
28.16,0.37,0.0,60.63,137.32,None,Non-Road
82.25,1.66,2.32,6.02,66.83,None,Road
83.3,6.62,12.37,6.77,144.26,Damage,Road
24.39,22.06,7.95,47.51,98.3,Pothole,Non-Road
7.19,2.14,34.85,55.35,163.73,Crack,Non-Road
8.17,7.75,10.27,70.63,135.78,Damage,Non-Road
11.67,26.13,10.91,59.38,83.67,Pothole,Non-Road
72.41,2.49,42.57,3.23,138.5,Crack,Road
12.01,5.22,11.22,46.05,131.57,Damage,Non-Road
3.93,1.43,0.5,77.86,112.0,None,Non-Road
22.31,7.02,10.93,48.19,129.54,Damage,Non-Road
7.7,2.29,29.75,76.32,111.71,Crack,Non-Road
68.84,0.6,3.48,6.61,96.44,None,Road
4.05,19.61,13.74,100.0,92.63,Pothole,Non-Road
15.48,0.99,1.77,56.27,107.92,None,Non-Road
23.73,21.94,15.28,66.5,192.76,Pothole,Non-Road
12.89,5.38,7.9,67.17,97.98,Damage,Non-Road
72.13,6.51,9.89,6.79,100.88,Damage,Road
0.0,1.18,32.28,64.93,102.13,Crack,Non-Road
74.74,8.26,11.77,10.87,115.37,Damage,Road
3.47,0.43,1.87,59.32,88.33,None,Non-Road
18.66,16.92,12.17,64.98,102.13,Pothole,Non-Road
79.95,0.73,1.06,9.99,120.28,None,Road
73.99,2.27,2.78,8.2,129.99,None,Road
15.96,22.27,17.45,76.6,142.11,Pothole,Non-Road
79.94,0.96,2.81,10.02,138.46,None,Road
69.0,6.07,10.26,2.3,92.11,Damage,Road
4.53,1.27,1.38,68.32,116.06,None,Non-Road
56.42,8.85,8.3,11.55,138.9,Damage,Road
77.47,1.24,0.66,0.0,99.0,None,Road
73.53,1.8,30.01,6.53,92.53,Crack,Road
8.18,1.04,36.55,73.01,144.49,Crack,Non-Road
11.86,1.12,33.2,76.4,94.13,Crack,Non-Road
63.17,4.92,9.97,10.02,130.93,Damage,Road
55.64,15.04,13.19,4.63,129.93,Pothole,Road
7.29,21.07,12.82,76.78,144.03,Pothole,Non-Road
13.47,1.83,2.65,75.52,93.6,None,Non-Road
10.52,21.03,10.61,67.5,103.44,Pothole,Non-Road
69.57,13.76,19.56,4.33,143.94,Pothole,Road
8.57,1.67,29.66,63.23,123.06,Crack,Non-Road
80.24,16.58,14.33,14.17,130.23,Pothole,Road
66.67,12.45,17.95,4.0,144.97,Damage,Road
5.28,1.89,37.27,72.35,131.46,Crack,Non-Road
76.69,0.05,27.24,2.22,97.77,Crack,Road
13.99,18.21,16.56,38.59,99.66,Pothole,Non-Road
17.81,1.51,20.09,62.24,159.75,Crack,Non-Road
69.59,1.31,33.04,12.02,142.97,Crack,Road
59.42,0.04,27.54,4.33,107.75,Crack,Road
72.72,5.21,13.37,11.68,95.05,Damage,Road
81.44,25.16,19.71,8.8,76.02,Pothole,Road
16.21,7.95,10.26,74.09,135.99,Damage,Non-Road
10.28,6.78,9.9,47.72,153.75,Damage,Non-Road
70.32,10.73,5.67,5.36,144.12,Damage,Road
75.03,9.5,14.63,14.59,115.19,Damage,Road
26.69,21.88,12.95,60.39,111.59,Pothole,Non-Road
20.54,9.7,10.99,55.55,150.93,Damage,Non-Road
2.96,22.39,12.89,71.39,102.28,Pothole,Non-Road
66.8,7.67,15.29,13.96,70.97,Damage,Road
69.29,23.56,12.18,6.18,103.99,Pothole,Road
20.31,9.22,12.9,60.89,71.95,Damage,Non-Road
67.49,1.56,28.58,15.87,106.99,Crack,Road
72.17,21.36,15.17,10.21,70.21,Pothole,Road
78.23,14.67,10.35,6.27,71.25,Pothole,Road
7.9,0.73,1.28,55.53,109.83,None,Non-Road
79.41,8.66,16.7,8.64,103.02,Damage,Road
16.76,3.78,12.23,73.03,81.1,Damage,Non-Road
72.48,2.19,32.43,0.13,29.8,Crack,Road
69.32,1.18,28.42,6.37,126.01,Crack,Road
70.18,1.3,1.5,12.94,109.85,None,Road
0.24,0.91,2.74,71.51,103.09,None,Non-Road
9.23,0.84,2.99,73.21,155.57,None,Non-Road
21.5,11.09,15.32,74.69,116.81,Damage,Non-Road
75.31,6.38,9.13,7.02,114.01,Damage,Road
6.25,20.46,19.41,41.55,101.13,Pothole,Non-Road
66.38,2.81,25.32,8.91,114.57,Crack,Road
13.88,19.81,18.52,55.43,118.24,Pothole,Non-Road
2.97,1.5,0.57,72.34,93.8,None,Non-Road
12.62,20.64,15.17,71.41,9.42,Pothole,Non-Road
79.61,0.63,31.38,10.06,109.17,Crack,Road
66.04,20.33,13.55,4.15,91.74,Pothole,Road
9.12,3.98,31.44,58.73,156.32,Crack,Non-Road
72.32,23.48,13.02,16.3,146.04,Pothole,Road
78.15,1.77,1.36,10.42,85.34,None,Road
76.94,0.84,1.53,11.01,64.07,None,Road
7.31,0.75,0.55,56.9,146.23,None,Non-Road
56.86,1.11,2.26,9.16,151.41,None,Road
71.72,21.59,12.85,2.3,131.61,Pothole,Road
78.98,8.1,12.42,10.23,128.84,Damage,Road
73.52,1.71,28.07,4.84,84.6,Crack,Road
20.1,1.38,1.35,72.54,90.79,None,Non-Road
